WKT,name
"LINESTRING (-84.506 39.1413, -84.2003 39.7805)",Cincinnati
"LINESTRING (-84.2003 39.7805, -82.9855 39.9862)",Dayton
"LINESTRING (-82.9855 39.9862, -82.425 40.0706)",Columbus
"LINESTRING (-82.6448 38.4592, -84.4587 38.0423)",Ashland
"LINESTRING (-82.1604 36.6181, -83.9496 35.9692)",Lexington
"LINESTRING (-82.1604 36.6181, -82.5537 35.5707)",Knoxville
"LINESTRING (-84.2527 30.4551, -82.3459 29.6804)",Asheville
"LINESTRING (-85.6485 38.1663, -87.5341 37.9881)",Bristol
"LINESTRING (-86.1458 39.7771, -87.5341 37.9881)",Indianapolis
"LINESTRING (-86.8593 40.3991, -86.1458 39.7771)",Evansville
"LINESTRING (-81.6322 38.3484, -79.9581 37.2785)",Charleston
"LINESTRING (-79.1909 37.4003, -79.9581 37.2785)",Lynchburg
"LINESTRING (-77.4756 37.5295, -76.0435 36.7335)",Richmond
"LINESTRING (-77.2643 39.1755, -77.4756 37.5295)",Germantown
"LINESTRING (-79.1909 37.4003, -79.8271 36.0956)",Roanoke
"LINESTRING (-79.8271 36.0956, -78.6429 35.8324)",Greensboro
"LINESTRING (-78.6429 35.8324, -77.376 35.5943)",Raleigh
"LINESTRING (-76.3012 40.042, -75.5416 39.7415)",Greenville
"LINESTRING (-75.1339 40.0077, -75.1073 39.9361)",Wilmington
"LINESTRING (-75.1073 39.9361, -74.1654 39.9895)",Camden
"LINESTRING (-75.5416 39.7415, -76.6144 39.3051)",Toms River
"LINESTRING (-76.6144 39.3051, -77.0163 38.9047)",Baltimore
"LINESTRING (-77.0163 38.9047, -77.1011 38.8786)",Washington
"LINESTRING (-77.1011 38.8786, -77.2643 39.1755)",Arlington
"LINESTRING (-76.0435 36.7335, -77.376 35.5943)",Virginia Beach
"LINESTRING (-81.2137 28.905, -81.337 28.4773)",Deltona
"LINESTRING (-81.337 28.4773, -81.9545 28.0557)",Orlando
"LINESTRING (-82.3459 29.6804, -81.6749 30.3322)",Lakeland
"LINESTRING (-83.6974 32.8065, -81.1821 32.0286)",Jacksonville
"LINESTRING (-80.9036 34.0378, -82.0708 33.3645)",Savannah
"LINESTRING (-82.3646 34.8354, -80.8303 35.2083)",Columbia
"LINESTRING (-80.8303 35.2083, -78.9772 35.085)",Charlotte
"LINESTRING (-78.9772 35.085, -79.9687 32.8168)",Fayetteville
"LINESTRING (-81.6749 30.3322, -81.2137 28.905)",Charleston
"LINESTRING (-80.3884 27.2796, -80.132 26.7469)",Port St. Lucie
"LINESTRING (-80.132 26.7469, -80.1464 26.1412)",West Palm Beach
"LINESTRING (-80.1464 26.1412, -80.2101 25.784)",Fort Lauderdale
"LINESTRING (-80.3884 27.2796, -81.9957 26.6443)",Miami
"LINESTRING (-81.9957 26.6443, -82.1977 27.0576)",Cape Coral
"LINESTRING (-121.848 37.3012, -121.3109 37.9765)",Colorado Springs
"LINESTRING (-115.2654 36.2333, -113.5752 37.0758)",Las Vegas
"LINESTRING (-87.4082 46.544, -87.9895 44.5148)",Line 231
"LINESTRING (-80.9036 34.0378, -79.9687 32.8168)",Line 229
"LINESTRING (-121.3109 37.9765, -121.6317 36.6883)",Line 230
